code,iata,city,alias
DMA,DMA,Tucson,
DMD,DMD,Doomadgee,
DMN,DMN,Deming,
DMO,DMO,Sedalia,
DMR,DMR,Dhamar,
DMT,DMT,Diamantino,
DMU,DMU,Dimapur,
DNA,DNA,Okinawa,
DNB,DNB,Dunbar,
DNC,DNC,Danane,
DND,DND,Dundee,
DNE,DNE,Dallas,
DNF,DNF,Derna,
DNG,DNG,Doongan,
DNH,DNH,Dunhuang,
DNI,DNI,Wad Medani,
DNK,DNK,Dnepropetrovsk,
DNL,DNL,"Augusta, GA",
DNM,DNM,Denham,
DNN,DNN,Dalton,
DNO,DNO,Dianopolis,
DNP,DNP,Dang,
DNQ,DNQ,Deniliquin,
DNR,DNR,Dinard,
DNS,DNS,Denison,
DNT,DNT,Santa Ana,
DNU,DNU,Dinangat,
DNV,DNV,"Danville, IL",
DNX,DNX,Dinder,
DNZ,DNZ,Denizli,
DOA,DOA,Doany,
DOB,DOB,Dobo,
DOC,DOC,Dornoch,
DOD,DOD,Dodoma,
DOE,DOE,Djoemoe,
DOF,DOF,Dora Bay,
DOG,DOG,Dongola,
DOH,DOH,Доха,
DOI,DOI,Doini,
DOK,DOK,Donetsk,
DOL,DOL,Deauville,
DOM,DOM,Dominica,
DON,DON,Dos Lagunas,
DOO,DOO,Dorobisoro,
DOP,DOP,Dolpa,
DOR,DOR,Dori,
DOS,DOS,Dios,
DOU,DOU,Dourados,
DOV,DOV,Dover-Cheswold,
DOX,DOX,Dongara,
DOY,DOY,Dongying,
DPA,DPA,Chicago,
DPE,DPE,Dieppe,
DPG,DPG,Dugway,
DPK,DPK,Deer Park,
DPL,DPL,Dipolog,
DPO,DPO,Devonport,
DPS,DPS,Денпасар (Бали),
DPU,DPU,Dumpu,
DRA,DRA,Mercury,
DRB,DRB,Derby,
DRC,DRC,Dirico,
DRD,DRD,Dorunda Station,
DRE,DRE,Drummond Island,
DRF,DRF,Drift River,
DRG,DRG,Deering,
DRH,DRH,Dabra,
DRI,DRI,De Ridder,
DRJ,DRJ,Drietabbetje,
DRM,DRM,Drama,
DRN,DRN,Dirranbandi,
DRO,DRO,Durango,
DRR,DRR,Durrie,
DRS,DRS,Dresden,
DRT,DRT,Del Rio,
DRU,DRU,Drummond,
DRW,DRW,Darwin,
DRY,DRY,Drysdale River,
DSA,DSA,Doncaster Sheffield,
DSC,DSC,Dschang,
DSD,DSD,La Desirade,
DSE,DSE,Dessie,
DSG,DSG,Dilasag,
DSI,DSI,Destin,
DSK,DSK,Dera Ismail Khan,
DSL,DSL,Daru,
DSM,DSM,"Des Moines, IA",
DSN,DSN,Dongsheng,
DSV,DSV,Dansville,
DTA,DTA,Delta,
DTD,DTD,Datadawai,
DTE,DTE,Daet,
DTH,DTH,Death Valley,
DTL,DTL,Detroit Lakes,
DTM,DTM,Dortmund,
DTN,DTN,"Shreveport, LA",
DTR,DTR,Decatur Island,
DTW,DTW,"Detroit, MI",
DUA,DUA,Durant,
DUB,DUB,Dublin,
DUC,DUC,Duncan,
DUD,DUD,Dunedin,
DUE,DUE,Dundo,
DUF,DUF,"Corolla, NC",
DUG,DUG,Douglas,
DUJ,DUJ,Du Bois,
DUK,DUK,Dukuduk,
DUM,DUM,Dumai,
DUN,DUN,Dundas,
DUQ,DUQ,Duncan/Quam,
DUR,DUR,Durban,
DUS,DUS,Дюссельдорф,
DUT,DUT,Dutch Harbor,
DVA,DVA,Deva,
DVK,DVK,Diavik,
DVL,DVL,Devils Lake,
DVN,DVN,Davenport,
DVO,DVO,Davao,
DVP,DVP,Davenport Downs,
DVR,DVR,Daly River,
DVT,DVT,Phoenix,
DWA,DWA,Dwangwa,
DWB,DWB,Soalala,
DWD,DWD,Dawadmi,
DWF,DWF,Dayton,
DWH,DWH,Houston,
DWN,DWN,Oklahoma City,
DWS,DWS,Orlando,
DXA,DXA,Deux Alpes,
DWC,DWC,Дубай,
DXD,DXD,Dixie,
DXR,DXR,"Danbury, CT",
DYA,DYA,Dysart,
DYG,DYG,Dayong,
DYL,DYL,Doylestown,
DYM,DYM,Diamantina Lakes,
DYS,DYS,Abilene,
DYW,DYW,Daly Waters,
DZA,DZA,Dzaoudzi,
DZI,DZI,Codazzi,
DZO,DZO,Durazno,
DZU,DZU,Dazu,
EAA,EAA,Eagle,
EAB,EAB,Abbse,
EAE,EAE,Emae,
EAL,EAL,Kwajalein Atoll,
EAM,EAM,Nejran,
EAN,EAN,Wheatland,
EAR,EAR,Kearney,
EAS,EAS,San Sebastian,
EAT,EAT,Wenatchee,
EAU,EAU,"Eau Claire, WI",
EBA,EBA,Elba Island,
EBB,EBB,Кампала,
EBD,EBD,El Obeid,
EBG,EBG,El Bagre,
EBJ,EBJ,Esbjerg,
EBM,EBM,El Borma,
EBN,EBN,Ebadon,
EBO,EBO,Ebon,
EBR,EBR,Baton Rouge,
EBS,EBS,Webster City,
EBU,EBU,St Etienne,
EBW,EBW,Ebolowa,
ECA,ECA,East Tawas,
ECG,ECG,"Elizabeth City, NC",
ECH,ECH,Echuca,
ECN,ECN,Lefkosa,
ECO,ECO,El Encanto,
ECR,ECR,El Charco,
ECS,ECS,Newcastle,
EDA,EDA,Edna Bay,
EDB,EDB,Eldebba,
EDD,EDD,Erldunda,
EDE,EDE,Edenton,
EDF,EDF,Anchorage,
EDG,EDG,Edgewood,
EDI,EDI,Edinburgh,
EDK,EDK,El Dorado,
EDL,EDL,Eldoret,
EDM,EDM,La Roche,
EDO,EDO,Edremit/korfez,
EDQ,EDQ,Erandique,
EDR,EDR,Edward River,
EDW,EDW,Edwards AFB,
EED,EED,Needles,
EEK,EEK,Eek,
EEN,EEN,Keene,
EFB,EFB,Eight Fathom Bight,
EFD,EFD,Houston,
EFG,EFG,Efogi,
EFK,EFK,Newport,
EFL,EFL,Kefalonia,
EFO,EFO,East Fork,
EFW,EFW,Jefferson,
EGA,EGA,Engati,
EGC,EGC,Bergerac,
EGE,EGE,Vail/Eagle,
EGI,EGI,Valparaiso,
EGL,EGL,Neghelli,
EGM,EGM,Sege,
EGN,EGN,Geneina,
EGP,EGP,Eagle Pass,
EGS,EGS,Egilsstadir,
EGV,EGV,Eagle River,
EGX,EGX,Egegik,
EHL,EHL,El Bolson,
EHM,EHM,Cape Newenham,
EHT,EHT,East Hartford,
EIA,EIA,Eia,
EIB,EIB,Eisenach,
EIH,EIH,Einasleigh,
EIL,EIL,Fairbanks,
EIN,EIN,Eindhoven,
EIS,EIS,Beef Island,
EIY,EIY,Ein Yahav,
EJA,EJA,Barrancabermeja,
EJH,EJH,Wedjh,
EJT,EJT,Mili Atoll,
EKA,EKA,"Eureka, CA",
EKB,EKB,Ekibastuz,
EKD,EKD,Elkedra,
EKE,EKE,Ekereku,
EKI,EKI,Elkhart,
EKN,EKN,Elkins,
EKO,EKO,"Elko, NV",
EKT,EKT,Eskilstuna,
EKX,EKX,Elizabethtown,
ELA,ELA,Eagle Lake,
ELB,ELB,El Banco,
ELC,ELC,Elcho Island,
ELD,ELD,El Dorado,
ELE,ELE,El Real,
ELF,ELF,El Fasher,
ELG,ELG,El Golea,
ELH,ELH,North Eleuthera,
ELI,ELI,Elim,
ELJ,ELJ,El Recreo,
ELK,ELK,Elk City,
ELL,ELL,Ellisras,
ELM,ELM,"Corning, NY",
ELN,ELN,Ellensburg,
ELO,ELO,Eldorado,
ELP,ELP,El Paso,
ELQ,ELQ,Buraidah,
ELR,ELR,Elelim,
ELS,ELS,East London,
ELT,ELT,Tour Sinai City,
ELU,ELU,El Oued,
ELV,ELV,Elfin Cove,
ELW,ELW,Ellamar,
ELX,ELX,El Tigre,
ELY,ELY,Ely,
ELZ,ELZ,Wellsville,
EMA,EMA,Derby,
EMB,EMB,San Francisco,
EMD,EMD,Emerald,
EME,EME,Emden,
EMG,EMG,Empangeni,
EMI,EMI,Emirau,
EMK,EMK,Emmonak,
EML,EML,Luzern,
EMM,EMM,Kemerer,
EMN,EMN,Nema,
EMO,EMO,Emo,
EMP,EMP,Emporia,
EMS,EMS,Embessa,
EMT,EMT,El Monte,
EMX,EMX,El Maiten,
EMY,EMY,El Minya,
ENA,ENA,Kenai,
ENB,ENB,Eneabba West,
ENC,ENC,Nancy,
END,END,Enid,
ENE,ENE,Ende,
ENF,ENF,Enontekio,
ENH,ENH,Enshi,
ENI,ENI,El Nido,
ENJ,ENJ,El Naranjo,
ENK,ENK,Enniskillen,
ENL,ENL,Centralia,
ENN,ENN,Nenana,
ENO,ENO,Encarnacion,
ENQ,ENQ,Coronel E Soto Cano AB,
ENS,ENS,Enschede,
ENT,ENT,Enewetak Island,
ENU,ENU,Enugu,
ENV,ENV,Wendover,
ENW,ENW,Kenosha,
EOH,EOH,Medellнn,
EOI,EOI,Eday,
EOK,EOK,Keokuk,
EOR,EOR,El Dorado,
EOS,EOS,Neosho,
EOZ,EOZ,Elorza,
EPA,EPA,El Palomar,
EPG,EPG,Weeping Water,
EPH,EPH,Ephrata,
EPI,EPI,Epi,
EPK,EPK,Episkopi,
EPL,EPL,Epinal,
EPN,EPN,Epena,
EPR,EPR,Esperance,
EPS,EPS,Samana,
EPT,EPT,Eliptamin,
EQS,EQS,Esquel,
ERA,ERA,Erigavo,
ERB,ERB,Ernabella,
ERC,ERC,Erzincan,
ERD,ERD,Berdyansk,
ERE,ERE,Erave,
ERF,ERF,Erfurt,
ERH,ERH,Er-Rachidia,
ERI,ERI,Erie,
ERM,ERM,Erechim,
ERN,ERN,Eirunepe,
ERO,ERO,Eldred Rock,
ERR,ERR,Errol,
ERS,ERS,Windhoek,
ERT,ERT,Erdenet,
ERU,ERU,Erume,
ERV,ERV,Kerrville,
ERZ,ERZ,Erzurum,
ESC,ESC,Escanaba,
ESD,ESD,Eastsound,
ESE,ESE,Ensenada,
ESF,ESF,Alexandria,
ESG,ESG,Mariscal Estigarribia,
ESH,ESH,Shoreham By Sea,
ESI,ESI,Espinosa,
ESK,ESK,Eskisehir,
ESM,ESM,Esmeraldas,
ESN,ESN,Easton,
ESO,ESO,Espanola,
ESP,ESP,East Stroudsburg,
ESR,ESR,El Salvador,
ESS,ESS,Essen,
EST,EST,Estherville,
ESU,ESU,Essaouira,
ESW,ESW,Easton,
ETB,ETB,West Bend,
ETD,ETD,Etadunna,
ETE,ETE,Genda Wuha,
ETH,ETH,Eilat,
ETN,ETN,Eastland,
ETS,ETS,Enterprise,
ETZ,ETZ,Metz/nancy,
EUA,EUA,Eua,
EUC,EUC,Eucla,
EUE,EUE,Eureka,
EUF,EUF,Eufaula,
EUG,EUG,Eugene,
EUM,EUM,Neumuenster,
EUN,EUN,Laayoune,
EUO,EUO,Paratebueno,
EUQ,EUQ,Antique,
EUX,EUX,St Eustatius,
EVA,EVA,Evadale,
EVD,EVD,Eva Downs,
EVE,EVE,Harstad-narvik,
EVG,EVG,Sveg,
EVH,EVH,Evans Head,
EVM,EVM,Eveleth,
EVV,EVV,"Evansville, IN",
EVW,EVW,Evanston,
EVX,EVX,Evreux,
EWB,EWB,New Bedford,
EWD,EWD,Wildman Lake,
EWE,EWE,Ewer,
EWI,EWI,Enarotali,
EWK,EWK,Newton,
EWN,EWN,New Bern,
EWO,EWO,Ewo,
EWR,EWR,Newark,
EWY,EWY,Newbury,
EXI,EXI,Excursion Inlet,
EXM,EXM,Exmouth Gulf,
EXT,EXT,Exeter,
EYL,EYL,Yelimane,
EYP,EYP,El Yopal,
EYR,EYR,Yerington,
EYS,EYS,Eliye Springs,
EYW,EYW,Key West,
EZE,EZE,Buenos Aires,
EZS,EZS,Elazig,
FAA,FAA,Faranah,
FAB,FAB,Farnborough,
FAC,FAC,Faaite,
FAE,FAE,Sorvag,
FAF,FAF,Fort Eustis,
FAG,FAG,Fagurholsmyri,
FAH,FAH,Farah,
FAI,FAI,Fairbanks,
FAJ,FAJ,Fajardo,
FAK,FAK,False Island,
FAL,FAL,Roma,
FAM,FAM,Farmington,
FAN,FAN,Farsund,
FAO,FAO,Faro,
FAQ,FAQ,Freida River,
FAR,FAR,Fargo,
FAS,FAS,Faskrudsfjordur,
FAT,FAT,Fresno,
FAV,FAV,Fakarava,
FAY,FAY,Fayetteville,
FAZ,FAZ,Fasa,
FBD,FBD,Faizabad,
FBE,FBE,Francisco Beltrao,
FBG,FBG,Fort Bragg,
FBK,FBK,Fairbanks,
FBL,FBL,Faribault,
FBM,FBM,Lubumbashi,
FBR,FBR,Fort Bridger,
FBS,FBS,Friday Harbor SPB,
FBY,FBY,Fairbury,
FCA,FCA,"Kalispell, MT",
FCB,FCB,Ficksburg,
FCH,FCH,Fresno,
FCM,FCM,Minneapolis,
FCN,FCN,Cuxhaven,
FCO,FCO,Rome,
FCS,FCS,Colorado Springs,
FCT,FCT,Yakima,
FCY,FCY,Forrest City,
FDE,FDE,Forde,
FDF,FDF,Fort De France,
FDH,FDH,Friedrichshafen,
FDK,FDK,Frederick,
FDR,FDR,Frederick,
FDU,FDU,Bandundu,
FDY,FDY,Findlay,
FEA,FEA,Fetlar,
FEB,FEB,Sanfebagar,
FEC,FEC,Feira De Santana,
FEJ,FEJ,Feijo,
FEK,FEK,Ferkessedougou,
FEL,FEL,Fuerstenfeldbruck,
FEN,FEN,Fernando De Noronha,
FEP,FEP,Freeport,
FER,FER,Fergusons Gulf,
FES,FES,San Fernando,
FET,FET,Fremont,
FEW,FEW,Cheyenne,
FEZ,FEZ,Fez,
FFA,FFA,Kill Devil Hills,
FFD,FFD,Fairford,
FFL,FFL,Fairfield,
FFM,FFM,Fergus Falls,
FFO,FFO,Dayton,
FFT,FFT,"Frankfort, KY",
FFU,FFU,Futaleufu,
FGD,FGD,Fderik,
FGI,FGI,Apia,
FGL,FGL,Fox Glacier,
FGR,FGR,Fuengirola,
FGU,FGU,Fangatau,
FHU,FHU,Sierra Vista,
FHZ,FHZ,Fakahina,
FIC,FIC,Fire Cove,
FID,FID,Fishers Island,
FIE,FIE,Fair Isle,
FIG,FIG,Fria,
FIK,FIK,Finke,
FIL,FIL,Fillmore,
FIN,FIN,Finschhafen,
FIV,FIV,Five Finger Coast Guard Heliport,
FIZ,FIZ,Fitzroy Crossing,
FJR,FJR,Al-fujairah,
FKB,FKB,Karlsruhe/Baden Baden,
FKH,FKH,Fakenham,
FKI,FKI,Kisangani,
FKJ,FKJ,Fukui,
FKL,FKL,Franklin,
FKN,FKN,Franklin,
FKQ,FKQ,Fak Fak,
FKS,FKS,Fukushima,
FLA,FLA,Florencia,
FLB,FLB,Floriano,
FLC,FLC,Falls Creek,
FLD,FLD,Fond Du Lac,
FLE,FLE,Petersburg,
FLF,FLF,Flensburg,
FLG,FLG,Grand Canyon,
FLH,FLH,Flotta,
FLI,FLI,Flateyri,
FLJ,FLJ,Falls Bay,
FLL,FLL,Fort Lauderdale,
FLM,FLM,Filadelfia,
FLN,FLN,Florianopolis,
FLO,FLO,Florence,
FLP,FLP,Flippin,
FLR,FLR,Florence,
FLS,FLS,Flinders Island,
FLT,FLT,Flat,
FLU,FLU,New York,
FLV,FLV,Fort Leavenworth,
FLW,FLW,Flores Island,
FLX,FLX,Fallon,
FLY,FLY,Finley,
FMA,FMA,Formosa,
FMC,FMC,Five Mile,
FME,FME,Fort Meade,
FMG,FMG,Flamingo,
FMH,FMH,Falmouth,
FMI,FMI,Kalemie,
FMN,FMN,Farmington,
FMO,FMO,Muenster/Osnabrueck,
FMS,FMS,Fort Madison,
FMY,FMY,Fort Myers,
FNA,FNA,Freetown,
FNB,FNB,Neubrandenburg,
FNC,FNC,Funchal,
FNE,FNE,Fane,
FNG,FNG,Fada Ngourma,
FNH,FNH,Fincha,
FNI,FNI,Nimes,
FNJ,FNJ,Pyongyang,
FNK,FNK,Fin Creek,
FNL,FNL,Fort Collins/Loveland,
FNR,FNR,Funter Bay,
FNT,FNT,Flint,
FOA,FOA,Foula,
FOB,FOB,Fort Bragg,
FOC,FOC,Fuzhou,
FOD,FOD,"Fort Dodge, IA",
FOE,FOE,"Topeka, KS",
FOG,FOG,Foggia,
FOK,FOK,Westhampton,
FOM,FOM,Foumban,
FON,FON,Fortuna,
FOO,FOO,Numfoor,
FOP,FOP,Forest Park,
FOR,FOR,Fortaleza,
FOS,FOS,Forrest,
FOT,FOT,Forster,
FOU,FOU,Fougamou,
FOX,FOX,Fox,
FOY,FOY,Foya,
FPR,FPR,Fort Pierce,
FPY,FPY,Perry,
FRA,FRA,Франкфурт-на-Майне,
FRB,FRB,Forbes,
FRC,FRC,Franca,
FRD,FRD,Friday Harbor,
FRE,FRE,Fera Island,
FRF,FRF,Frankfurt,
FRG,FRG,Farmingdale,
FRH,FRH,French Lick,
FRI,FRI,"Fort Riley, KS",
FRJ,FRJ,Frejus,
FRK,FRK,Fregate Is,
FRL,FRL,Forli,
FRM,FRM,Fairmont,
FRN,FRN,Fort Richardson,
FRO,FRO,Floro,
FRP,FRP,Fresh Water Bay,
FRQ,FRQ,Feramin,
FRR,FRR,"Front Royal, (VA)",
FRS,FRS,Flores,
FRT,FRT,Frutillar,
FRW,FRW,Francistown,
FRY,FRY,Fryeburg,
FRZ,FRZ,Fritzlar,
FSC,FSC,Figari,
FSD,FSD,Sioux Falls,
FSI,FSI,Fort Sill,
FSK,FSK,Fort Scott,
FSL,FSL,Fossil Downs,
FSM,FSM,Fort Smith,
FSN,FSN,Fort Sheridan,
FSP,FSP,St Pierre,
FSS,FSS,Forres,
FST,FST,Fort Stockton,
FSU,FSU,Fort Sumner,
FTA,FTA,Futuna Island,
FTE,FTE,El Calafate,
FTI,FTI,Fitiuta,
FTK,FTK,Fort Knox,
FTL,FTL,Fortuna Ledge,
FTU,FTU,Fort Dauphin,
FTW,FTW,Fort Worth,
FTX,FTX,Owando,
FTY,FTY,Atlanta,
FUB,FUB,Fulleborn,
FUD,FUD,Sui Fen He,
FUE,FUE,Puerto del Rosario,
FUG,FUG,Fuyang,
FUJ,FUJ,Fukue,
FUK,FUK,Fukuoka,
FUL,FUL,Fullerton,
FUM,FUM,Fuma,
FUN,FUN,Funafuti Atol,
FUO,FUO,Fuoshan,
FUT,FUT,Futuna Island,
FVL,FVL,Flora Valley,
FVR,FVR,Forrest River,
FWA,FWA,Fort Wayne,
FWH,FWH,"Fort Worth, TX",
FWL,FWL,Farewell,
FWM,FWM,Fort William,
FXE,FXE,Fort Lauderdale,
FXM,FXM,Flaxman Island,
FXO,FXO,Cuamba,
FXY,FXY,Forest City,
FYM,FYM,Fayetteville,
FYN,FYN,Fuyun,
FYT,FYT,Faya,
FYU,FYU,Fort Yukon,
FYV,FYV,Fayetteville,
FZO,FZO,Bristol,
GAA,GAA,Guamal,
GAB,GAB,Gabbs,
GAC,GAC,Gracias,
GAD,GAD,Gadsden,
GAE,GAE,Gabes,
GAF,GAF,Gafsa,
GAG,GAG,Gage,
GAH,GAH,Gayndah,
GAI,GAI,Gaithersburg,
GAJ,GAJ,Yamagata,
GAK,GAK,Gakona,
GAL,GAL,Galena,
GAM,GAM,Gambell,
GAN,GAN,Gan Island,
GAO,GAO,Guantanamo,
GAP,GAP,Gusap,
GAQ,GAQ,Gao,
GAR,GAR,Garaina,
GAS,GAS,Garissa,
GAT,GAT,Gap,
GAU,GAU,Gawahati,
GAV,GAV,Gag Island,
GAW,GAW,Gangaw,
GAX,GAX,Gamba,
GAY,GAY,Gaya,
GAZ,GAZ,Guasopa,
GBA,GBA,Big Bay,
GBC,GBC,Gasuke,
GBD,GBD,Great Bend,
GBE,GBE,Gaborone,
GBF,GBF,Negarbo,
GBG,GBG,Galesburg,
GBH,GBH,Galbraith Lake,
GBI,GBI,Grand Bahama,
GBJ,GBJ,Marie Galante,
GBK,GBK,Gbangbatok,
GBL,GBL,Goulburn Island,
GBM,GBM,Garbaharey,
GBN,GBN,San Giovanni Rotondo,
GBO,GBO,Baltimore,
GBP,GBP,Gamboola,
GBQ,GBQ,Muharraq,
GBR,GBR,Great Barrington,
GBS,GBS,Port Fitzroy,
GBT,GBT,Gorgan,
GBU,GBU,Khashm El Girba,
GBV,GBV,Gibb River,
GBZ,GBZ,Great Barrier Island,
GCA,GCA,Guacamaya,
GCC,GCC,Gillette,
GCH,GCH,Gachsaran,
GCI,GCI,Guernsey,
GCJ,GCJ,Johannesburg,
GCK,GCK,"Garden City, KS",
GCM,GCM,Georgetown,
GCN,GCN,Grand Canyon,
GCV,GCV,Gravatai,
GCY,GCY,Greenville,
GDA,GDA,Gounda,
GDC,GDC,Greenville,
GDD,GDD,Gordon Downs,
GDE,GDE,Gode/Iddidole,
GDG,GDG,Magdagachi,
GDH,GDH,"Golden Horn Lodge, Alaska",
GDI,GDI,Gordil,
GDJ,GDJ,Gandajika,
GDL,GDL,Guadalajara,
GDM,GDM,Gardner,
GDN,GDN,Gdansk,
GDO,GDO,Guasdualito,
GDP,GDP,Guadalupe,
GDQ,GDQ,Gondar,
GDT,GDT,Grand Turk Is,
GDV,GDV,Glendive,
GDW,GDW,Gladwin,
GEA,GEA,Noumea,
GEB,GEB,Gebe,
GEC,GEC,Gecitkale,
GED,GED,Georgetown,
GEE,GEE,George Town,
GEF,GEF,Geva,
GEG,GEG,Spokane,
GEI,GEI,Green Islands,
GEK,GEK,Ganes Creek,
GEL,GEL,Santo Angelo,
GEN,GEN,Oslo,
GER,GER,Nueva Gerona,
GES,GES,General Santos,
GET,GET,Geraldton,
GEV,GEV,Gallivare,
GEW,GEW,Gewoia,
GEX,GEX,Geelong,
GEY,GEY,Greybull,
GFA,GFA,Great Falls,
GFB,GFB,Togiak Fish,
GFD,GFD,Greenfield,
GFE,GFE,Grenfell,
GFF,GFF,Griffith,
GFK,GFK,Grand Forks,
GFL,GFL,Glens Falls,
GFN,GFN,Grafton,
GFO,GFO,Bartica,
GFR,GFR,Granville,
GFY,GFY,Grootfontein,
GGC,GGC,Lumbala,
GGD,GGD,Gregory Downs,
GGE,GGE,Georgetown,
GGG,GGG,Kilgore,
GGL,GGL,Gilgal,
GGN,GGN,Gagnoa,
GGO,GGO,Guiglo,
GGR,GGR,Garoe,
GGS,GGS,Gobernador Gregores,
GGT,GGT,George Town,
GGW,GGW,Glasgow,
GHA,GHA,Ghardaia,
GHB,GHB,Governors Harbour,
GHC,GHC,Great Harbour,
GHD,GHD,Ghimbi,
GHE,GHE,Garachine,
GHF,GHF,Giebelstadt,
GHK,GHK,Gush Katif,
GHM,GHM,Centerville,
GHN,GHN,Guanghan,
GHT,GHT,Ghat,
GHU,GHU,Gualeguaychu,
GIB,GIB,Gibraltar,
GIC,GIC,Boigu Island,
GID,GID,Gitega,
GIF,GIF,Winter Haven,
GIG,GIG,Rio De Janeiro,
GII,GII,Siguiri,
GIL,GIL,Gilgit,
GIM,GIM,Miele Mimbale,
GIR,GIR,Girardot,
GIS,GIS,Gisborne,
GIT,GIT,Geita,
GIU,GIU,Sigiriya,
GIY,GIY,Giyani,
GIZ,GIZ,Jazan,
GJA,GJA,Guanaja,
GJL,GJL,Jijel,
GJM,GJM,Guajara-Mirim,
GJR,GJR,Gjogur,
GJT,GJT,Grand Junction,
GKA,GKA,Goroka,
GKE,GKE,Geilenkirchen,
GKH,GKH,Gorkha,
GKL,GKL,Great Keppel Island,
GKN,GKN,Gulkana,
GKO,GKO,Kongoboumba,
GKT,GKT,Gatlinburg,
GLA,GLA,Glasgow,
GLC,GLC,Geladi,
GLD,GLD,Goodland,
GLE,GLE,Gainesville,
GLF,GLF,Golfito,
GLG,GLG,Glengyle,
GLH,GLH,Greenville,
GLI,GLI,Glen Innes,
GLK,GLK,Galcaio,
GLL,GLL,Gol,
GLM,GLM,Glenormiston,
GLN,GLN,Goulimime,
GLO,GLO,Gloucester,
GLP,GLP,Gulgubip,
GLQ,GLQ,Glennallen,
GLR,GLR,Gaylord,
GLS,GLS,Galveston,
GLT,GLT,Gladstone,
GLV,GLV,Golovin,
GLW,GLW,Glasgow,
GLX,GLX,Galela,
GLY,GLY,Goldsworthy,
GLZ,GLZ,Breda,
GMA,GMA,Gemena,
GMB,GMB,Gambela,
GMC,GMC,Guerima,
GMI,GMI,Gasmata Island,
GMM,GMM,Gamboma,
GMN,GMN,Greymouth,
GMR,GMR,Gambier Is,
GMS,GMS,Guimaraes,
GMT,GMT,Granite Mountain,
GMU,GMU,Greenville,
GMV,GMV,Monument Valley Gldngs,
GMY,GMY,Rheindahlen,
GMZ,GMZ,San Sebas De La Gomera,
GNB,GNB,Grenoble,
GND,GND,St. Georges,
GNE,GNE,Ghent,
GNG,GNG,Gooding,
GNI,GNI,Green Island,
GNM,GNM,Guanambi,
GNN,GNN,Ghinnir,
GNR,GNR,General Roca,
GNS,GNS,Gunungsitoli,
GNT,GNT,Grants,
GNU,GNU,Goodnews Bay,
GNV,GNV,Gainesville,
GNZ,GNZ,Ghanzi,
GOA,GOA,Genova,
GOB,GOB,Goba,
GOC,GOC,Gora,
GOE,GOE,Gonalia,
GOF,GOF,San Angelo,
GOG,GOG,Gobabis,
GOH,GOH,Nuuk,
GOI,GOI,Goa,
GOK,GOK,Guthrie,
GOL,GOL,Gold Beach,
GOM,GOM,Goma,
GON,GON,New London,
GOO,GOO,Goondiwindi,
GOP,GOP,Gorakhpur,
GOQ,GOQ,Golmud,
GOR,GOR,Gore,
GOS,GOS,Gosford,
GOT,GOT,Gothenburg,
GOU,GOU,Garoua,
GOV,GOV,Gove,
GOY,GOY,Gal Oya,
GOZ,GOZ,Gorna Oriahovitsa,
GPA,GPA,Patras,
GPB,GPB,Guarapuava,
GPI,GPI,Guapi,
GPL,GPL,Guapiles,
GPN,GPN,Garden Point,
GPO,GPO,General Pico,
GPS,GPS,Galapagos Is,
GPT,GPT,Gulfport,
GPZ,GPZ,Grand Rapids,
GQJ,GQJ,Machrihanish,
GQQ,GQQ,Galion,
GRA,GRA,Gamarra,
GRB,GRB,Green Bay,
GRC,GRC,Grand Cess,
GRD,GRD,Greenwood,
GRE,GRE,Greenville,
GRF,GRF,Tacoma,
GRG,GRG,Gardez,
GRH,GRH,Garuahi,
GRI,GRI,"Grand Island, NE",
GRJ,GRJ,George,
GRK,GRK,"Fort Hood, TX",
GRL,GRL,Garasa,
GRM,GRM,Grand Marais,
GRN,GRN,Gordon,
GRO,GRO,Gerona,
GRP,GRP,Gurupi,
GRQ,GRQ,Groningen,
GRR,GRR,Grand Rapids,
GRS,GRS,Grosseto,
GRT,GRT,Gujrat,
GRU,GRU,Sao Paulo,
GRW,GRW,Graciosa Island,
GRX,GRX,Granada,
GRY,GRY,Grimsey,
GRZ,GRZ,Graz,
GSA,GSA,Long Pasia,
GSB,GSB,Goldsboro,
GSC,GSC,Gascoyne Junction,
GSE,GSE,Gothenburg,
GSH,GSH,Goshen,
GSI,GSI,Guadalcanal,
GSL,GSL,Taltheilei Narrows,
GSM,GSM,Gheshm,
GSN,GSN,Mount Gunson,
GSO,GSO,High Point,
GSP,GSP,Greenville,
GSQ,GSQ,Shark Elowainat,
GSR,GSR,Gardo,
GSS,GSS,Sabi Sabi,
GST,GST,Gustavus,
GSU,GSU,Gedaref,
GSY,GSY,Grimsby,
GTA,GTA,Gatokae,
GTB,GTB,Genting,
GTC,GTC,Green Turtle,
GTE,GTE,Groote Eylandt,
GTF,GTF,Great Falls,
GTG,GTG,Grantsburg,
GTI,GTI,Guettin,
GTK,GTK,Sungei Tekai,
GTN,GTN,Mount Cook,
GTO,GTO,Gorontalo,
GTR,GTR,Columbus,
GTS,GTS,Granites,
GTT,GTT,Georgetown,
GTW,GTW,Zlin,
GTY,GTY,Gettysburg,
GUA,GUA,Guatemala City,
GUB,GUB,Guerrero Negro,
GUC,GUC,Gunnison,
GUD,GUD,Goundam,
GUE,GUE,Guriaso,
GUF,GUF,Gulf Shores,
GUG,GUG,Guari,
GUH,GUH,Gunnedah,
GUI,GUI,Guiria,
GUJ,GUJ,Guaratingueta,
